idx,time,x,y,z,angle1,angle2,angle3,target_x,target_y,target_z,target_angle1,target_angle2,target_angle3
14,14:51:44,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:44,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:45,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:45,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:46,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:47,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:47,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:48,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:48,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:49,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:49,199.0,-15.4,267.9,-0.36,-1.08,0.09,200,-15,265,0,0,0
14,14:51:50,199.1,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:51,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:51,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:52,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:52,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:53,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:53,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:54,199.2,-15.5,266.6,-0.19,-0.68,0.08,200,-15,265,0,0,0
14,14:51:55,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:55,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
14,14:51:56,199.2,-15.5,266.5,-0.15,-0.6,0.08,200,-15,265,0,0,0
